feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__SLFN11,100,50,1.0,0.2199999988079071,-0.47,0.21,True,1.0
TPM__NCKAP1L,100,50,1.0,0.25,-0.4,0.24,True,1.0
TPM__OSGIN1,100,50,1.0,0.17000000178813934,0.46,0.19,True,1.0
TPM__PDE1B,99,49,0.99,0.2199999988079071,-0.4,0.23,True,1.0
TPM__TJP1,99,49,0.99,0.20000000298023224,0.36,0.2,True,1.0
TPM__PPIC,98,48,0.98,0.23999999463558197,0.47,0.2,True,1.0
TPM__NQO1,98,48,0.98,0.20000000298023224,0.46,0.17,True,1.0
TPM__KDELR3,96,46,0.96,0.18000000715255737,0.44,0.19,True,0.832
TPM__S100A10,95,45,0.95,0.14000000059604645,0.39,0.17,True,0.458
TPM__FKBP9,95,45,0.95,0.20000000298023224,0.43,0.17,True,0.458
TPM__TM4SF1-AS1,95,45,0.95,0.07000000029802322,0.42,0.19,True,0.458
TPM__LIMD2,94,44,0.94,0.17000000178813934,-0.41,0.19,True,0.181
TPM__FAM114A1,92,42,0.92,0.1899999976158142,0.43,0.16,False,0.013
TPM__DAG1,92,42,0.92,0.1899999976158142,0.43,0.19,False,0.013
TPM__CORO1A,91,41,0.91,0.1899999976158142,-0.39,0.21,False,0.002
TPM__TPM1,90,41,0.9,0.18000000715255737,0.41,0.17,False,0.002
TPM__TNFRSF12A,88,39,0.88,0.18000000715255737,0.39,0.21,False,0.0
TPM__ARHGAP15,85,35,0.85,0.1899999976158142,-0.31,0.17,False,0.0
TPM__HCLS1,85,37,0.85,0.17000000178813934,-0.37,0.2,False,0.0
TPM__PRSS23,84,34,0.84,0.17000000178813934,0.43,0.2,False,0.0
TPM__PIK3CG,82,33,0.82,0.20000000298023224,-0.4,0.19,False,0.0
METH__SLC44A2,82,34,0.82,0.17000000178813934,-0.41,0.21,False,0.0
TPM__RHBDF1,82,32,0.82,0.1899999976158142,0.41,0.19,False,0.0
TPM__RHOH,81,31,0.81,0.18000000715255737,-0.36,0.2,False,0.0
TPM__AGAP2,80,31,0.8,0.1899999976158142,-0.44,0.18,False,0.0
TPM__SOWAHC,80,31,0.8,0.11999999731779099,0.32,0.21,False,0.0
TPM__CARD10,79,31,0.79,0.15000000596046448,0.39,0.17,False,0.0
TPM__P4HA2,79,29,0.79,0.1599999964237213,0.39,0.18,False,0.0
TPM__LURAP1L,77,29,0.77,0.10999999940395355,0.39,0.18,False,0.0
TPM__KDM2B,77,27,0.77,0.1599999964237213,-0.39,0.16,False,0.0
TPM__GNG12,76,26,0.76,0.18000000715255737,0.41,0.17,False,0.0
TPM__RFXAP,75,26,0.75,0.14000000059604645,-0.39,0.19,False,0.0
TPM__ACAP1,75,26,0.75,0.17000000178813934,-0.32,0.19,False,0.0
TPM__S100A16,75,29,0.75,0.15000000596046448,0.37,0.17,False,0.0
TPM__ARSJ,73,26,0.73,0.10000000149011612,0.37,0.17,False,0.0
TPM__P2RY8,73,23,0.73,0.1899999976158142,-0.33,0.2,False,0.0
METH__C1orf55,72,25,0.72,0.17000000178813934,0.37,0.2,False,0.0
TPM__PTPN7,71,23,0.71,0.1899999976158142,-0.36,0.17,False,0.0
TPM__LMNA,71,24,0.71,0.18000000715255737,0.42,0.17,False,0.0
TPM__ASB9,70,22,0.7,0.05999999865889549,0.32,0.17,False,0.0
METH__AGAP2,69,22,0.69,0.15000000596046448,-0.3,0.18,False,0.0
TPM__KLF4,68,20,0.68,0.11999999731779099,0.4,0.16,False,0.0
TPM__FTH1,66,19,0.66,0.10000000149011612,0.34,0.17,False,0.0
TPM__ARHGAP29,66,19,0.66,0.10999999940395355,0.38,0.17,False,0.0
TPM__PSMB8-AS1,66,19,0.66,0.09000000357627869,-0.28,0.16,False,0.0
TPM__MET,65,18,0.65,0.14000000059604645,0.37,0.16,False,0.0
METH__PTPN7,65,19,0.65,0.17000000178813934,0.35,0.17,False,0.0
TPM__ARHGAP19,65,20,0.65,0.15000000596046448,-0.39,0.18,False,0.0
TPM__FLI1,64,18,0.64,0.17000000178813934,-0.38,0.18,False,0.0
TPM__AMOTL2,63,16,0.63,0.1599999964237213,0.38,0.16,False,0.0
TPM__SUMF1,63,18,0.63,0.14000000059604645,0.42,0.16,False,0.0
TPM__IL12RB1,63,19,0.63,0.17000000178813934,-0.34,0.19,False,0.0
TPM__WASL,62,15,0.62,0.12999999523162842,0.34,0.2,False,0.0
TPM__MYOF,60,17,0.6,0.1599999964237213,0.38,0.16,False,0.0
TPM__ARHGEF28,59,15,0.59,0.09000000357627869,0.32,0.18,False,0.0
METH__RAB27B,59,12,0.59,0.14000000059604645,-0.34,0.2,False,0.0
TPM__BCAR1,56,12,0.56,0.1599999964237213,0.38,0.2,False,0.0
TPM__NIBAN2,56,12,0.56,0.17000000178813934,0.4,0.18,False,0.0
TPM__CAP2,56,13,0.56,0.14000000059604645,0.37,0.19,False,0.0
TPM__EPB41L1,54,16,0.54,0.15000000596046448,0.38,0.17,False,0.0
TPM__ARID1A,54,12,0.54,0.09000000357627869,-0.33,0.17,False,0.0
TPM__LASTR,53,11,0.53,0.019999999552965164,0.27,0.18,False,0.0
TPM__CYFIP2,53,13,0.53,0.10000000149011612,-0.33,0.2,False,0.0
TPM__ADGRG1,53,7,0.53,0.12999999523162842,0.36,0.17,True,0.053
TPM__SEPTIN10,53,14,0.53,0.15000000596046448,0.29,0.19,False,0.0
TPM__GPRC5A,52,13,0.52,0.10999999940395355,0.37,0.19,False,0.0
TPM__THRB,52,11,0.52,0.09000000357627869,0.39,0.17,False,0.0
TPM__SDC1,50,11,0.5,0.12999999523162842,0.34,0.17,False,0.0
TPM__MLPH,50,14,0.5,0.10999999940395355,0.37,0.17,False,0.0
TPM__TUFT1,49,8,0.49,0.1599999964237213,0.38,0.17,False,0.013
TPM__CSK,49,8,0.49,0.14000000059604645,-0.37,0.18,False,0.013
TPM__EGFR,49,10,0.49,0.07999999821186066,0.33,0.17,False,0.0
TPM__PLEKHN1,48,14,0.48,0.07999999821186066,0.32,0.18,False,0.0
TPM__LINC01836,48,7,0.48,0.09000000357627869,0.37,0.2,True,0.053
TPM__GPAT3,47,7,0.47,0.10999999940395355,0.37,0.17,True,0.053
TPM__GPC1,46,8,0.46,0.15000000596046448,0.4,0.18,False,0.013
TPM__ITGA3,46,10,0.46,0.14000000059604645,0.38,0.17,False,0.0
TPM__DNAH5,45,10,0.45,0.05000000074505806,0.33,0.16,False,0.0
TPM__SDC4,45,9,0.45,0.1599999964237213,0.39,0.17,False,0.002
TPM__COSMOC,45,7,0.45,0.05000000074505806,0.3,0.17,True,0.053
TPM__EREG,44,8,0.44,0.009999999776482582,0.21,0.16,False,0.013
METH__LRRC8E,44,5,0.44,0.05999999865889549,-0.25,0.16,True,0.458
TPM__CAV2,44,7,0.44,0.07000000029802322,0.27,0.17,True,0.053
TPM__MANBAL,43,7,0.43,0.14000000059604645,0.35,0.21,True,0.053
TPM__DSP,42,9,0.42,0.10999999940395355,0.36,0.17,False,0.002
TPM__CARD8-AS1,42,6,0.42,0.15000000596046448,-0.34,0.19,True,0.181
METH__LAMB2,42,7,0.42,0.15000000596046448,-0.21,0.17,True,0.053
METH__DSTN,42,5,0.42,0.1599999964237213,-0.38,0.25,True,0.458
TPM__GMFG,41,10,0.41,0.15000000596046448,-0.25,0.17,False,0.0
TPM__GIMAP2,40,5,0.4,0.10000000149011612,-0.27,0.16,True,0.458
TPM__INPP5D,40,8,0.4,0.15000000596046448,-0.36,0.16,False,0.013
TPM__RASSF5,40,9,0.4,0.11999999731779099,-0.32,0.18,False,0.002
METH__PKN1,39,7,0.39,0.1599999964237213,0.33,0.17,True,0.053
TPM__CD38,39,6,0.39,0.14000000059604645,-0.31,0.17,True,0.181
TPM__BTC,37,4,0.37,0.07999999821186066,0.36,0.2,True,0.832
TPM__SH2D3C,36,4,0.36,0.17000000178813934,-0.38,0.16,True,0.832
TPM__AVPR2,36,3,0.36,0.09000000357627869,-0.34,0.16,True,0.992
METH__PIK3CG,36,4,0.36,0.1599999964237213,0.37,0.22,True,0.832
TPM__FCHO1,35,5,0.35,0.10999999940395355,-0.34,0.16,True,0.458
METH__CCM2,35,3,0.35,0.1899999976158142,0.36,0.18,True,0.992
METH__MIR574,35,2,0.35,0.11999999731779099,-0.38,0.16,True,1.0
TPM__PAQR5,34,5,0.34,0.029999999329447746,0.29,0.19,True,0.458
TPM__TMEM171,33,1,0.33,0.029999999329447746,0.26,0.16,True,1.0
TPM__CFL2,33,3,0.33,0.05999999865889549,0.25,0.19,True,0.992
TPM__CARMIL2,33,2,0.33,0.12999999523162842,-0.32,0.17,True,1.0
TPM__LINC01843,32,4,0.32,0.05999999865889549,0.37,0.17,True,0.832
TPM__PHLDA2,31,3,0.31,0.11999999731779099,0.33,0.17,True,0.992
TPM__EDN1,31,4,0.31,0.07000000029802322,0.33,0.18,True,0.832
TPM__SH3TC2-DT,30,1,0.3,0.03999999910593033,0.37,0.18,True,1.0
TPM__ZNF205,29,3,0.29,0.14000000059604645,0.27,0.22,True,0.992
TPM__EIF4EBP2,28,1,0.28,0.029999999329447746,-0.18,0.17,True,1.0
METH__PCOLCE2,28,2,0.28,0.029999999329447746,-0.05,0.17,True,1.0
TPM__TAX1BP3,28,5,0.28,0.10000000149011612,0.34,0.16,True,0.458
METH__PTPN14,28,3,0.28,0.12999999523162842,-0.37,0.19,True,0.992
TPM__GCSAM,27,5,0.27,0.09000000357627869,-0.09,0.16,True,0.458
METH__BCL9L,27,3,0.27,0.15000000596046448,-0.37,0.18,True,0.992
METH__DDAH1,26,4,0.26,0.10999999940395355,-0.3,0.18,True,0.832
TPM__DCBLD2,26,3,0.26,0.07999999821186066,0.33,0.19,True,0.992
TPM__TCIM,26,2,0.26,0.029999999329447746,0.25,0.17,True,1.0
METH__GPR125,26,2,0.26,0.15000000596046448,-0.36,0.17,True,1.0
TPM__EMP1,25,2,0.25,0.07999999821186066,0.3,0.16,True,1.0
TPM__GNGT2,24,0,0.24,0.10000000149011612,-0.24,0.16,False,
TPM__SMAP2,23,2,0.23,0.11999999731779099,-0.35,0.16,True,1.0
TPM__PRKCB,22,2,0.22,0.1599999964237213,-0.3,0.17,True,1.0
METH__PTPRCAP,21,0,0.21,0.15000000596046448,0.35,0.19,False,
TPM__DUT,21,2,0.21,0.07000000029802322,-0.29,0.17,True,1.0
TPM__PLCD3,20,1,0.2,0.15000000596046448,0.39,0.18,True,1.0
METH__GULP1,20,0,0.2,0.1599999964237213,-0.35,0.17,False,
CNV__RAD51C,17,0,0.17,0.05000000074505806,0.21,0.18,False,
TPM__RPL36AP44,16,1,0.16,0.03999999910593033,0.27,0.17,True,1.0
METH__C9orf150,14,0,0.14,0.12999999523162842,-0.33,0.16,False,
TPM__SHB,14,0,0.14,0.10999999940395355,0.33,0.17,False,
METH__TAP1,14,0,0.14,0.09000000357627869,0.29,0.17,False,
METH__LTC4S,13,0,0.13,0.10000000149011612,0.33,0.18,False,
METH__SEMA3C,12,0,0.12,0.14000000059604645,-0.34,0.17,False,
