feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
MUT__BRAF,100,50,1.0,0.009999999776482582,-0.31,0.3,True,1.0
MUT__NRAS,100,50,1.0,0.05999999865889549,-0.22,0.26,True,1.0
METH__VPS52,100,50,1.0,0.07000000029802322,0.25,0.15,True,1.0
METH__NAT6,100,50,1.0,0.05999999865889549,0.31,0.16,True,1.0
METH__TCEANC,100,50,1.0,0.029999999329447746,0.29,0.15,True,1.0
METH__MSH5,100,50,1.0,0.029999999329447746,0.16,0.16,True,1.0
TPM__RNU1-16P,100,50,1.0,0.019999999552965164,0.13,0.17,True,1.0
METH__SNORD49A,100,50,1.0,0.05000000074505806,0.25,0.16,True,1.0
TPM__CRABP1,100,50,1.0,0.05999999865889549,0.23,0.17,True,1.0
METH__HYAL3,100,50,1.0,0.03999999910593033,0.27,0.18,True,1.0
METH__EIF4E,100,50,1.0,0.05000000074505806,0.34,0.18,True,1.0
TPM__RPS6KA6,100,50,1.0,0.07999999821186066,0.25,0.19,True,1.0
TPM__ST8SIA2,100,50,1.0,0.019999999552965164,0.18,0.18,True,1.0
METH__SNX33,99,49,0.99,0.019999999552965164,0.19,0.17,True,1.0
METH__TRAF7,99,49,0.99,0.07000000029802322,0.2,0.18,True,1.0
METH__TFCP2,99,49,0.99,0.019999999552965164,0.17,0.16,True,1.0
METH__QKI,98,48,0.98,0.019999999552965164,0.06,0.16,True,1.0
METH__FAM3C,98,48,0.98,0.029999999329447746,0.22,0.18,True,1.0
MUT__RB1,98,48,0.98,0.05999999865889549,0.25,0.29,True,1.0
METH__C14orf80,98,48,0.98,0.019999999552965164,-0.16,0.16,True,1.0
TPM__SNORA22,96,46,0.96,0.009999999776482582,0.12,0.17,True,0.832
METH__SYNGR4,96,46,0.96,0.029999999329447746,0.19,0.18,True,0.832
METH__MRPS18B,96,46,0.96,0.029999999329447746,0.14,0.19,True,0.832
METH__CCT6P1,95,45,0.95,0.05000000074505806,0.13,0.17,True,0.458
MUT__KRAS,94,44,0.94,0.019999999552965164,-0.19,0.21,True,0.181
METH__IRF2,94,44,0.94,0.03999999910593033,0.15,0.18,True,0.181
TPM__LINC02041,93,43,0.93,0.0,-0.1,0.18,True,0.053
TPM__RPS28P5,92,42,0.92,0.0,-0.06,0.19,False,0.013
CNV__FOXO1,91,41,0.91,0.019999999552965164,-0.12,0.18,False,0.002
TPM__RNU4-52P,91,41,0.91,0.019999999552965164,0.16,0.25,False,0.002
METH__SNORD101,91,41,0.91,0.03999999910593033,0.18,0.18,False,0.002
TPM__SNORA7B,88,38,0.88,0.0,-0.02,0.18,False,0.0
METH__SCARNA10,87,37,0.87,0.019999999552965164,-0.11,0.17,False,0.0
METH__VTI1A,87,37,0.87,0.03999999910593033,0.13,0.18,False,0.0
METH__MOCS2,86,37,0.86,0.009999999776482582,0.19,0.17,False,0.0
TPM__RNVU1-25,86,36,0.86,0.0,-0.06,0.19,False,0.0
CNV__LATS2,86,36,0.86,0.009999999776482582,-0.08,0.16,False,0.0
METH__MGAT2,85,35,0.85,0.009999999776482582,0.15,0.18,False,0.0
TPM__SNORA18,84,34,0.84,0.0,-0.01,0.17,False,0.0
METH__DPH3,84,34,0.84,0.019999999552965164,0.14,0.16,False,0.0
METH__ZBTB37,83,33,0.83,0.05000000074505806,0.19,0.18,False,0.0
METH__TMEM143,80,31,0.8,0.019999999552965164,0.18,0.17,False,0.0
