feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
MUT__BRAF,100,50,1.0,0.019999999552965164,-0.39,0.31,True,1.0
METH__RINL,100,50,1.0,0.07999999821186066,0.35,0.2,True,1.0
METH__CCM2,100,50,1.0,0.11999999731779099,0.41,0.28,True,1.0
METH__HNRPLL,100,50,1.0,0.019999999552965164,0.22,0.23,True,1.0
METH__EVL,100,50,1.0,0.10999999940395355,0.34,0.22,True,1.0
METH__CD3EAP,100,50,1.0,0.14000000059604645,-0.33,0.21,True,1.0
METH__EGFL8,100,50,1.0,0.20999999344348907,0.25,0.2,True,1.0
TPM__MIR142HG,100,50,1.0,0.11999999731779099,-0.28,0.23,True,1.0
METH__APOLD1,100,50,1.0,0.11999999731779099,0.27,0.19,True,1.0
TPM__PIK3CG,100,50,1.0,0.10000000149011612,-0.31,0.2,True,1.0
METH__DENND4B,100,50,1.0,0.07999999821186066,0.33,0.22,True,1.0
TPM__DAG1,100,50,1.0,0.03999999910593033,0.28,0.2,True,1.0
METH__WDR81,100,50,1.0,0.05999999865889549,0.24,0.21,True,1.0
METH__LOC100188949,100,50,1.0,0.14000000059604645,0.4,0.19,True,1.0
METH__ANGPTL7,100,50,1.0,0.1899999976158142,0.15,0.19,True,1.0
METH__FERMT3,100,50,1.0,0.11999999731779099,0.41,0.2,True,1.0
METH__SIX4,100,50,1.0,0.05000000074505806,-0.3,0.19,True,1.0
METH__TMEM149,100,50,1.0,0.1599999964237213,0.39,0.21,True,1.0
METH__MIR142,100,50,1.0,0.10999999940395355,0.35,0.2,True,1.0
METH__CRYBB3,100,50,1.0,0.20000000298023224,0.44,0.18,True,1.0
METH__MRPS18B,100,50,1.0,0.07000000029802322,0.2,0.21,True,1.0
TPM__IKZF1,100,50,1.0,0.10000000149011612,-0.26,0.22,True,1.0
METH__MAP4K1,100,50,1.0,0.14000000059604645,0.42,0.2,True,1.0
METH__BIN2,99,49,0.99,0.10000000149011612,0.38,0.22,True,1.0
METH__MIR1469,99,49,0.99,0.07000000029802322,-0.22,0.21,True,1.0
METH__C9orf150,97,47,0.97,0.07000000029802322,-0.24,0.19,True,0.992
METH__TMEM51,97,47,0.97,0.05999999865889549,-0.16,0.21,True,0.992
METH__SPR,97,47,0.97,0.03999999910593033,-0.25,0.19,True,0.992
METH__SEC22A,97,47,0.97,0.009999999776482582,-0.02,0.19,True,0.992
METH__PCDH7,95,45,0.95,0.05000000074505806,-0.25,0.2,True,0.458
METH__GBA2,95,45,0.95,0.029999999329447746,0.12,0.2,True,0.458
METH__PTPRK,94,44,0.94,0.05999999865889549,-0.29,0.23,True,0.181
METH__ACTN1,94,44,0.94,0.05000000074505806,-0.28,0.19,True,0.181
