feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__HRCT1,100,50,1.0,0.11999999731779099,0.5,0.23,True,1.0
TPM__CARD10,100,50,1.0,0.2800000011920929,0.48,0.25,True,1.0
TPM__KRT18,100,50,1.0,0.33000001311302185,0.53,0.24,True,1.0
TPM__MFNG,100,50,1.0,0.27000001072883606,-0.3,0.24,True,1.0
TPM__ARHGAP30,100,50,1.0,0.3100000023841858,-0.33,0.24,True,1.0
METH__MIR142,100,50,1.0,0.3400000035762787,0.41,0.24,True,1.0
TPM__PTPN7,100,50,1.0,0.36000001430511475,-0.33,0.27,True,1.0
METH__ANKRD44,100,50,1.0,0.27000001072883606,0.43,0.23,True,1.0
TPM__IKZF1,100,50,1.0,0.3700000047683716,-0.38,0.26,True,1.0
TPM__ARHGAP15,100,50,1.0,0.33000001311302185,-0.35,0.26,True,1.0
TPM__PDE1B,100,50,1.0,0.2800000011920929,-0.4,0.23,True,1.0
TPM__IL13RA1,100,50,1.0,0.30000001192092896,0.42,0.25,True,1.0
TPM__LAMB2,100,50,1.0,0.33000001311302185,0.47,0.27,True,1.0
TPM__ANXA2,100,50,1.0,0.2800000011920929,0.54,0.26,True,1.0
METH__LAMB2,100,50,1.0,0.2800000011920929,-0.22,0.23,True,1.0
TPM__AMOTL2,100,50,1.0,0.3400000035762787,0.51,0.24,True,1.0
METH__ERBB2,100,50,1.0,0.28999999165534973,-0.49,0.25,True,1.0
TPM__ARHGAP9,100,50,1.0,0.36000001430511475,-0.46,0.31,True,1.0
METH__PRIC285,100,50,1.0,0.3199999928474426,0.46,0.31,True,1.0
TPM__MIR142HG,100,50,1.0,0.3799999952316284,-0.34,0.29,True,1.0
TPM__ADAM9,100,50,1.0,0.2800000011920929,0.51,0.24,True,1.0
TPM__NIBAN2,100,50,1.0,0.33000001311302185,0.52,0.23,True,1.0
TPM__CD151,100,50,1.0,0.30000001192092896,0.51,0.25,True,1.0
TPM__GPR39,100,50,1.0,0.23999999463558197,0.48,0.24,True,1.0
TPM__DAG1,100,50,1.0,0.28999999165534973,0.47,0.25,True,1.0
TPM__PPIC,100,50,1.0,0.3100000023841858,0.47,0.25,True,1.0
TPM__PPP1R16B,99,49,0.99,0.27000001072883606,-0.36,0.28,True,1.0
TPM__RCSD1,99,49,0.99,0.3400000035762787,-0.32,0.23,True,1.0
METH__CCM2,99,49,0.99,0.3700000047683716,0.47,0.3,True,1.0
TPM__NCKAP1L,99,49,0.99,0.3199999928474426,-0.4,0.26,True,1.0
TPM__CEP170B,98,48,0.98,0.30000001192092896,0.46,0.23,True,1.0
TPM__MATN3,98,48,0.98,0.12999999523162842,0.48,0.23,True,1.0
TPM__FCHO2,98,48,0.98,0.25,0.4,0.23,True,1.0
TPM__THSD4,98,48,0.98,0.20999999344348907,0.47,0.24,True,1.0
METH__DSTN,98,48,0.98,0.28999999165534973,-0.42,0.34,True,1.0
METH__MAP4K1,98,48,0.98,0.3100000023841858,0.46,0.24,True,1.0
TPM__WWTR1-AS1,97,47,0.97,0.15000000596046448,0.43,0.23,True,0.992
TPM__CD53,97,47,0.97,0.3400000035762787,-0.34,0.25,True,0.992
TPM__CD38,97,47,0.97,0.2800000011920929,-0.32,0.25,True,0.992
TPM__RPL34,97,47,0.97,0.14000000059604645,-0.38,0.23,True,0.992
TPM__GATA6-AS1,97,47,0.97,0.10000000149011612,0.45,0.25,True,0.992
METH__PTPN14,96,46,0.96,0.27000001072883606,-0.45,0.32,True,0.832
TPM__PIK3CG,94,44,0.94,0.30000001192092896,-0.3,0.29,True,0.181
TPM__PAX5,93,43,0.93,0.18000000715255737,-0.29,0.26,True,0.053
METH__BIN2,93,43,0.93,0.30000001192092896,0.42,0.27,True,0.053
METH__TMEM51,93,43,0.93,0.23000000417232513,-0.29,0.28,True,0.053
METH__TMEM149,93,43,0.93,0.2800000011920929,0.41,0.29,True,0.053
METH__RAVER1,92,42,0.92,0.27000001072883606,-0.33,0.24,False,0.013
METH__CASZ1,89,39,0.89,0.30000001192092896,-0.42,0.28,False,0.0
METH__ITGA2,88,38,0.88,0.27000001072883606,-0.46,0.23,False,0.0
METH__PTPN7,88,38,0.88,0.3100000023841858,0.38,0.23,False,0.0
METH__TJP1,88,40,0.88,0.3400000035762787,-0.47,0.26,False,0.0
METH__BZRAP1,87,38,0.87,0.3400000035762787,0.45,0.25,False,0.0
METH__C17orf87,86,37,0.86,0.1899999976158142,0.37,0.23,False,0.0
TPM__NUAK1,86,36,0.86,0.14000000059604645,0.36,0.25,False,0.0
METH__KCNK1,81,31,0.81,0.23000000417232513,-0.44,0.22,False,0.0
METH__CCDC12,81,31,0.81,0.28999999165534973,-0.4,0.24,False,0.0
METH__TCEANC,79,29,0.79,0.09000000357627869,-0.4,0.24,False,0.0
METH__PTPRCAP,79,30,0.79,0.25999999046325684,0.42,0.27,False,0.0
METH__CSNK1G3,78,28,0.78,0.1899999976158142,-0.4,0.23,False,0.0
MUT__TP53,71,24,0.71,0.009999999776482582,0.1,0.24,False,0.0
METH__ZNF697,68,22,0.68,0.25999999046325684,-0.31,0.27,False,0.0
METH__ANXA4,68,22,0.68,0.10000000149011612,-0.37,0.23,False,0.0
METH__GPR125,68,21,0.68,0.25999999046325684,-0.39,0.26,False,0.0
METH__FAM114A1,67,22,0.67,0.2199999988079071,-0.44,0.29,False,0.0
METH__ACTN1,65,17,0.65,0.23999999463558197,-0.32,0.25,False,0.0
METH__NPAS2,64,19,0.64,0.25999999046325684,-0.46,0.23,False,0.0
METH__FMNL2,63,19,0.63,0.11999999731779099,-0.33,0.24,False,0.0
METH__GPX4,60,14,0.6,0.10999999940395355,-0.37,0.23,False,0.0
METH__SAMD5,60,14,0.6,0.23999999463558197,-0.33,0.24,False,0.0
METH__C9orf150,59,14,0.59,0.25999999046325684,-0.34,0.32,False,0.0
METH__AP1B1,58,16,0.58,0.12999999523162842,0.34,0.25,False,0.0
METH__C4orf12,58,16,0.58,0.23999999463558197,-0.28,0.29,False,0.0
METH__C20orf4,57,13,0.57,0.15000000596046448,-0.35,0.24,False,0.0
METH__MYO1E,57,13,0.57,0.09000000357627869,-0.05,0.24,False,0.0
METH__TRMT11,55,9,0.55,0.07999999821186066,-0.28,0.23,False,0.002
METH__GATA6,54,12,0.54,0.18000000715255737,-0.29,0.24,False,0.0
METH__CADPS2,54,16,0.54,0.23000000417232513,-0.29,0.24,False,0.0
METH__FAT1,52,11,0.52,0.25999999046325684,-0.4,0.27,False,0.0
