feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__DSTN,100,50,1.0,0.1599999964237213,-0.35,0.21,True,1.0
METH__NFIB,100,50,1.0,0.09000000357627869,-0.18,0.21,True,1.0
TPM__COL8A1,100,50,1.0,0.12999999523162842,0.4,0.21,True,1.0
TPM__ARSJ,100,50,1.0,0.1899999976158142,0.47,0.21,True,1.0
METH__CCM2,100,50,1.0,0.18000000715255737,0.34,0.2,True,1.0
METH__GULP1,100,50,1.0,0.15000000596046448,-0.34,0.24,True,1.0
METH__SPAG9,100,50,1.0,0.11999999731779099,-0.32,0.23,True,1.0
METH__C14orf128,100,50,1.0,0.07000000029802322,-0.29,0.22,True,1.0
METH__GPX8,100,50,1.0,0.09000000357627869,-0.29,0.24,True,1.0
METH__ABHD10,100,50,1.0,0.14000000059604645,-0.33,0.21,True,1.0
METH__C6orf217,100,50,1.0,0.07000000029802322,-0.3,0.23,True,1.0
TPM__SYTL4,100,50,1.0,0.07000000029802322,0.28,0.2,True,1.0
METH__C14orf153,100,50,1.0,0.07999999821186066,-0.23,0.22,True,1.0
TPM__PRSS23,100,50,1.0,0.25,0.5,0.21,True,1.0
METH__LNPEP,100,50,1.0,0.10000000149011612,0.29,0.22,True,1.0
METH__C1orf97,100,50,1.0,0.09000000357627869,-0.32,0.2,True,1.0
TPM__NCKAP1L,100,50,1.0,0.1899999976158142,-0.34,0.23,True,1.0
TPM__PTPN7,100,50,1.0,0.1899999976158142,-0.28,0.2,True,1.0
METH__THOC6,100,50,1.0,0.11999999731779099,-0.34,0.21,True,1.0
METH__TMEM160,100,50,1.0,0.12999999523162842,-0.36,0.24,True,1.0
TPM__TM4SF18,100,50,1.0,0.07000000029802322,0.35,0.21,True,1.0
METH__CCDC12,100,50,1.0,0.1599999964237213,-0.35,0.22,True,1.0
METH__TMEM149,100,50,1.0,0.15000000596046448,0.33,0.2,True,1.0
METH__SAMD4A,100,50,1.0,0.009999999776482582,0.18,0.2,True,1.0
METH__ITGB8,99,49,0.99,0.10000000149011612,-0.32,0.21,True,1.0
TPM__PIK3CG,99,49,0.99,0.15000000596046448,-0.22,0.22,True,1.0
METH__KLF4,98,48,0.98,0.10999999940395355,-0.25,0.21,True,1.0
METH__GINS3,98,48,0.98,0.0,0.15,0.2,True,1.0
METH__ZNF434,96,46,0.96,0.029999999329447746,-0.09,0.21,True,0.832
METH__EFNA5,95,45,0.95,0.07999999821186066,-0.26,0.24,True,0.458
METH__WIBG,92,42,0.92,0.10000000149011612,0.3,0.21,False,0.013
METH__TGIF1,91,41,0.91,0.07999999821186066,-0.29,0.2,False,0.002
METH__MIR1915,88,38,0.88,0.05000000074505806,-0.22,0.2,False,0.0
